Ex-Showroom_Price,Fuel_Type,Length,Width,ARAI_Certified_Mileage,Gears,Ground_Clearance,Power,Torque,Seating_Capacity,Model
"Rs. 2,92,667",Petrol,3164 mm,1750 mm,23.6 km/litre,4,180 mm,38PS@5500rpm,51Nm@4000rpm,4,Nano Genx
"Rs. 2,36,447",Petrol,3164 mm,1750 mm,23.6 km/litre,4,180 mm,38PS@5500rpm,51Nm@4000rpm,4,Nano Genx
"Rs. 2,96,661",CNG,3164 mm,1750 mm,,4,180 mm,38PS@5500rpm,51Nm@4000rpm,4,Nano Genx
"Rs. 3,34,768",Petrol,3164 mm,1750 mm,21.9 km/litre,5,180 mm,38PS@5500rpm,51Nm@4000rpm,4,Nano Genx
"Rs. 2,72,223",Petrol,3164 mm,1750 mm,23.6 km/litre,4,180 mm,38PS@5500rpm,51Nm@4000rpm,4,Nano Genx
"Rs. 3,14,815",Petrol,3164 mm,1750 mm,21.9 km/litre,5,180 mm,38PS@5500rpm,51Nm@4000rpm,4,Nano Genx
"Rs. 2,79,650",Petrol,3429 mm,1560 mm,25.17 km/litre,5,185 mm,54PS@5678rpm,72Nm@4386rpm,5,Redi-Go
"Rs. 3,51,832",Petrol,3429 mm,1560 mm,25.17 km/litre,5,185 mm,54PS@5678rpm,72Nm@4386rpm,5,Redi-Go
"Rs. 3,33,419",Petrol,3429 mm,1560 mm,25.17 km/litre,5,185 mm,54PS@5678rpm,72Nm@4386rpm,5,Redi-Go
"Rs. 3,62,000",Petrol,3429 mm,1560 mm,25.17 km/litre,5,185 mm,54PS@5678rpm,72Nm@4386rpm,5,Redi-Go
"Rs. 3,90,000",Petrol,3429 mm,1560 mm,22.5 km/litre,5,185 mm,68PS@5500rpm,91Nm@4250RPM,5,Redi-Go
"Rs. 4,37,065",Petrol,3429 mm,1560 mm,23 km/litre,5,185 mm,68PS@5500rpm,91Nm@4250RPM,5,Redi-Go
"Rs. 3,53,290",Petrol,3731 mm,1579 mm,25.17 km/litre,6,184 mm,54PS@5678rpm,72Nm@4386rpm,5,Kwid
"Rs. 2,83,290",Petrol,3731 mm,1579 mm,25.17 km/litre,5,184 mm,54PS@5678rpm,72Nm@4386rpm,5,Kwid
"Rs. 3,83,290",Petrol,3731 mm,1579 mm,25.17 km/litre,5,184 mm,54PS@5678rpm,72Nm@4386rpm,5,Kwid
"Rs. 4,13,290",Petrol,3731 mm,1580 mm,25.17 km/litre,5,184 mm,54PS@5678rpm,72Nm@4386rpm,5,Kwid
"Rs. 4,33,290",Petrol,3731 mm,1579 mm,23.01 km/litre,5,184 mm,68PS@5500rpm,91Nm@4250RPM,5,Kwid
"Rs. 4,54,490",Petrol,3731 mm,1579 mm,23.01 km/litre,5,184 mm,68PS@5500rpm,91Nm@4250RPM,5,Kwid
"Rs. 4,63,290",Petrol,3731 mm,1579 mm,24.04 km/litre,,184 mm,68PS@5500rpm,91Nm@4250RPM,5,Kwid
"Rs. 4,84,490",Petrol,3731 mm,1579 mm,24.04 km/litre,,184 mm,68PS@5500rpm,91Nm@4250RPM,5,Kwid
