Automatic_Headlamps,ESP_(Electronic_Stability_Program),Number_of_Airbags,Gear_Shift_Reminder,Fasten_Seat_Belt_Warning,Door_Ajar_Warning,ABS_(Anti-lock_Braking_System),Passenger_Side_Seat-Belt_Reminder,High_Speed_Alert_System,Low_Fuel_Warning,Engine_Malfunction_Light,Child_Safety_Locks,Central_Locking,Ex-Showroom_Price,ARAI_Certified_Mileage,Power,Torque
,,,,,,,,,Yes,Yes,Yes,Yes,"Rs. 2,92,667",23.6 km/litre,38PS@5500rpm,51Nm@4000rpm
,,,,,,,,,Yes,Yes,Yes,,"Rs. 2,36,447",23.6 km/litre,38PS@5500rpm,51Nm@4000rpm
,,,,,,,,,Yes,Yes,Yes,,"Rs. 2,96,661",,38PS@5500rpm,51Nm@4000rpm
,,,,,,,,,Yes,Yes,Yes,Yes,"Rs. 3,34,768",21.9 km/litre,38PS@5500rpm,51Nm@4000rpm
,,,,,,,,,Yes,Yes,Yes,,"Rs. 2,72,223",23.6 km/litre,38PS@5500rpm,51Nm@4000rpm
,,,,,Yes,,,,Yes,Yes,Yes,,"Rs. 3,14,815",21.9 km/litre,38PS@5500rpm,51Nm@4000rpm
,,,,,,Yes,,,Yes,Yes,Yes,,"Rs. 2,79,650",25.17 km/litre,54PS@5678rpm,72Nm@4386rpm
,,,,,,,,,Yes,Yes,Yes,Yes,"Rs. 3,51,832",25.17 km/litre,54PS@5678rpm,72Nm@4386rpm
,,,,,,,,,Yes,Yes,Yes,,"Rs. 3,33,419",25.17 km/litre,54PS@5678rpm,72Nm@4386rpm
,,,,,,,,,Yes,Yes,Yes,,"Rs. 3,62,000",25.17 km/litre,54PS@5678rpm,72Nm@4386rpm
,,,,,,,,,Yes,Yes,Yes,,"Rs. 3,90,000",22.5 km/litre,68PS@5500rpm,91Nm@4250RPM
,,,,,,,,,Yes,Yes,Yes,Yes,"Rs. 4,37,065",23 km/litre,68PS@5500rpm,91Nm@4250RPM
,,1,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,,"Rs. 3,53,290",25.17 km/litre,54PS@5678rpm,72Nm@4386rpm
,,1,Yes,Yes,,Yes,,,Yes,Yes,,,"Rs. 2,83,290",25.17 km/litre,54PS@5678rpm,72Nm@4386rpm
,,1,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 3,83,290",25.17 km/litre,54PS@5678rpm,72Nm@4386rpm
,,1,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,,"Rs. 4,13,290",25.17 km/litre,54PS@5678rpm,72Nm@4386rpm
,,1,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 4,33,290",23.01 km/litre,68PS@5500rpm,91Nm@4250RPM
,,1,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 4,54,490",23.01 km/litre,68PS@5500rpm,91Nm@4250RPM
,,1,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 4,63,290",24.04 km/litre,68PS@5500rpm,91Nm@4250RPM
,,1,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 4,84,490",24.04 km/litre,68PS@5500rpm,91Nm@4250RPM
