Height,Length,Width,ARAI_Certified_Mileage,Kerb_Weight,Gears,Ground_Clearance,Power,Torque,Model
1652 mm,3164 mm,1750 mm,23.6 km/litre,660 kg,4,180 mm,38PS@5500rpm,51Nm@4000rpm,Nano Genx
1652 mm,3164 mm,1750 mm,23.6 km/litre,725 kg,4,180 mm,38PS@5500rpm,51Nm@4000rpm,Nano Genx
1652 mm,3164 mm,1750 mm,,710 kg,4,180 mm,38PS@5500rpm,51Nm@4000rpm,Nano Genx
1652 mm,3164 mm,1750 mm,21.9 km/litre,725 kg,5,180 mm,38PS@5500rpm,51Nm@4000rpm,Nano Genx
1652 mm,3164 mm,1750 mm,23.6 km/litre,725 kg,4,180 mm,38PS@5500rpm,51Nm@4000rpm,Nano Genx
1652 mm,3164 mm,1750 mm,21.9 km/litre,710 kg,5,180 mm,38PS@5500rpm,51Nm@4000rpm,Nano Genx
1541 mm,3429 mm,1560 mm,25.17 km/litre,,5,185 mm,54PS@5678rpm,72Nm@4386rpm,Redi-Go
1541 mm,3429 mm,1560 mm,25.17 km/litre,,5,185 mm,54PS@5678rpm,72Nm@4386rpm,Redi-Go
1541 mm,3429 mm,1560 mm,25.17 km/litre,,5,185 mm,54PS@5678rpm,72Nm@4386rpm,Redi-Go
1541 mm,3429 mm,1560 mm,25.17 km/litre,,5,185 mm,54PS@5678rpm,72Nm@4386rpm,Redi-Go
1541 mm,3429 mm,1560 mm,22.5 km/litre,,5,185 mm,68PS@5500rpm,91Nm@4250RPM,Redi-Go
1541 mm,3429 mm,1560 mm,23 km/litre,,5,185 mm,68PS@5500rpm,91Nm@4250RPM,Redi-Go
1490 mm,3731 mm,1579 mm,25.17 km/litre,669 kg,6,184 mm,54PS@5678rpm,72Nm@4386rpm,Kwid
1490 mm,3731 mm,1579 mm,25.17 km/litre,669 kg,5,184 mm,54PS@5678rpm,72Nm@4386rpm,Kwid
1490 mm,3731 mm,1579 mm,25.17 km/litre,669 kg,5,184 mm,54PS@5678rpm,72Nm@4386rpm,Kwid
1490 mm,3731 mm,1580 mm,25.17 km/litre,669 kg,5,184 mm,54PS@5678rpm,72Nm@4386rpm,Kwid
1490 mm,3731 mm,1579 mm,23.01 km/litre,669 kg,5,184 mm,68PS@5500rpm,91Nm@4250RPM,Kwid
1490 mm,3731 mm,1579 mm,23.01 km/litre,669 kg,5,184 mm,68PS@5500rpm,91Nm@4250RPM,Kwid
1490 mm,3731 mm,1579 mm,24.04 km/litre,669 kg,,184 mm,68PS@5500rpm,91Nm@4250RPM,Kwid
1490 mm,3731 mm,1579 mm,24.04 km/litre,669 kg,,184 mm,68PS@5500rpm,91Nm@4250RPM,Kwid
1490 mm,3731 mm,1579 mm,23.01 km/litre,669 kg,5,184 mm,68PS@5500rpm,91Nm@4250RPM,Kwid
1490 mm,3731 mm,1579 mm,23.01 km/litre,669 kg,5,184 mm,68PS@5500rpm,91Nm@4250RPM,Kwid
1490 mm,3731 mm,1579 mm,23.01 km/litre,669 kg,5,184 mm,68PS@5500rpm,91Nm@4250RPM,Kwid
1490 mm,3731 mm,1579 mm,24.04 km/litre,669 kg,,184 mm,68PS@5500rpm,91Nm@4250RPM,Kwid
1800 mm,3675 mm,1475 mm,15 km/litre,920 kg,5,160 mm,73PS@6000rpm,101Nm@3000rpm,Eeco
1800 mm,3675 mm,1475 mm,15 km/litre,940 kg,5,160 mm,74PS@6000RPM,101Nm@3000rpm,Eeco
1800 mm,3675 mm,1475 mm,15 km/litre,928 kg,5,160 mm,73PS@6000rpm,101Nm@3000rpm,Eeco
1800 mm,3675 mm,1475 mm,,1050 kg,5,160 mm,62PS@6000rpm,85Nm@3000rpm,Eeco
1800 mm,3675 mm,1475 mm,,1030 kg,5,160 mm,62PS@6000rpm,85Nm@3000rpm,Eeco
1475 mm,3545 mm,1490 mm,24.07 km/litre,745 kg,5,160 mm,68PS@6000rpm,90Nm@3500rpm,Alto K10
1475 mm,3545 mm,1490 mm,24.07 km/litre,750 kg,5,160 mm,68PS@6200rpm,90Nm@3500rpm,Alto K10
1475 mm,3545 mm,1490 mm,24.07 km/litre,740 kg,5,160 mm,68PS@6000rpm,90Nm@3500rpm,Alto K10
1460 mm,3620 mm,1475 mm,24.07 km/litre,755 kg,5,160 mm,68PS@6000rpm,90Nm@3500rpm,Alto K10
1475 mm,3545 mm,1490 mm,,740 kg,5,160 mm,59PS@6000rpm,78Nm@3500rpm,Alto K10
1475 mm,3545 mm,1490 mm,24.07 km/litre,755 kg,5,160 mm,68PS@6000rpm,90Nm@3500rpm,Alto K10
1507 mm,3788 mm,1636 mm,20.1 km/litre,864 kg,5,180 mm,68PS@5000rpm,104Nm@4000rpm,Go
1507 mm,3788 mm,1636 mm,20.1 km/litre,864 kg,5,180 mm,68PS@5000rpm,104Nm@4000rpm,Go
1507 mm,3788 mm,1636 mm,20.1 km/litre,864 kg,5,180 mm,68PS@5000rpm,104Nm@4000rpm,Go
1507 mm,3788 mm,1636 mm,20.1 km/litre,864 kg,5,180 mm,68PS@5000rpm,104Nm@4000rpm,Go
1507 mm,3788 mm,1636 mm,20.1 km/litre,864 kg,5,180 mm,68PS@5000rpm,104Nm@4000rpm,Go
1507 mm,3788 mm,1636 mm,20.1 km/litre,864 kg,5,180 mm,68PS@5000rpm,104Nm@4000rpm,Go
1507 mm,3788 mm,1636 mm,20.1 km/litre,864 kg,5,180 mm,68PS@5000rpm,104Nm@4000rpm,Go
1507 mm,3788 mm,1636 mm,20.1 km/litre,864 kg,5,180 mm,78PS@5000rpm,104Nm@4000rpm,Go
1507 mm,3788 mm,1636 mm,20.1 km/litre,864 kg,5,180 mm,78PS@5000rpm,104Nm@4000rpm,Go
1560 mm,3600 mm,1600 mm,23.1 km/litre,830 kg,5,165 mm,68PS@6000rpm,90Nm@3500rpm,Celerio Tour
1560 mm,3695 mm,1600 mm,,915 kg,5,165 mm,59bhp@6000rpm,78Nm@3500rpm,Celerio Tour
1560 mm,3610 mm,1645 mm,20.3 km/litre,,5,,69PS@5500rpm,99.04nm@4500RPM,Santro
1560 mm,3610 mm,1645 mm,20.3 km/litre,,5,,69PS@5500rpm,99.04nm@4500RPM,Santro
1560 mm,3610 mm,1645 mm,,,5,,59PS@5500RPM,99.04nm@4500RPM,Santro
1560 mm,3610 mm,1645 mm,20.3 km/litre,,5,,69PS@5500rpm,10.1kgm@4500RPM,Santro
1560 mm,3610 mm,1645 mm,20.3 km/litre,,5,,69PS@5500rpm,10.1kgm@4500RPM,Santro
1560 mm,3610 mm,1645 mm,,,5,,59PS@5500RPM,8.3KGM@4500rpm,Santro
1560 mm,3610 mm,1645 mm,20.3 km/litre,,5,,69PS@5500rpm,10.1kgm@4500RPM,Santro
1560 mm,3610 mm,1645 mm,20.3 km/litre,,5,,69PS@5500rpm,99.04nm@4500RPM,Santro
1535 mm,3765 mm,1677 mm,23 km/litre,935 kg,5,,86PS@6000rpm,114NM@3300rpm,Tiago
1535 mm,3746 mm,1647 mm,23 km/litre,930 kg,5,170 mm,86PS@6000rpm,114NM@3300rpm,Tiago
1535 mm,3746 mm,1647 mm,23 km/litre,930 kg,5,170 mm,86PS@6000rpm,114NM@3300rpm,Tiago
1535 mm,3746 mm,1647 mm,23 km/litre,930 kg,5,170 mm,86PS@6000rpm,114NM@3300rpm,Tiago
1535 mm,3746 mm,1647 mm,23 km/litre,930 kg,5,170 mm,86PS@6000rpm,114NM@3300rpm,Tiago
1535 mm,3746 mm,1647 mm,24 km/litre,930 kg,5,170 mm,86PS@6000rpm,114NM@3300rpm,Tiago
1535 mm,3746 mm,1647 mm,24 km/litre,930 kg,5,170 mm,86PS@6000rpm,114NM@3300rpm,Tiago
1535 mm,3746 mm,1647 mm,24 km/litre,930 kg,5,170 mm,86PS@6000rpm,114NM@3300rpm,Tiago
1560 mm,3600 mm,1600 mm,23.1 km/litre,810 kg,5,165 mm,68PS@6000rpm,90Nm@3500rpm,Celerio X
1560 mm,3600 mm,1600 mm,23.1 km/litre,810 kg,5,165 mm,68PS@6000rpm,90Nm@3500rpm,Celerio X
1560 mm,3600 mm,1600 mm,23.1 km/litre,810 kg,5,165 mm,68PS@6000rpm,90Nm@3500rpm,Celerio X
1560 mm,3600 mm,1600 mm,23.1 km/litre,810 kg,5,165 mm,68PS@6000rpm,90Nm@3500rpm,Celerio X
1560 mm,3600 mm,1600 mm,23.1 km/litre,810 kg,5,165 mm,68PS@6000rpm,90Nm@3500rpm,Celerio X
1560 mm,3600 mm,1600 mm,23.1 km/litre,810 kg,5,165 mm,68PS@6000rpm,90Nm@3500rpm,Celerio X
1560 mm,3600 mm,1600 mm,23.1 km/litre,810 kg,5,165 mm,68PS@6000rpm,90Nm@3500rpm,Celerio X
1560 mm,3600 mm,1600 mm,23.1 km/litre,810 kg,5,165 mm,68PS@6000rpm,90Nm@3500rpm,Celerio X
1595 mm,3700 mm,1690 mm,20.89 km/litre,860 kg,,180 mm,83PS@6000rpm,113Nm@4200RPM,Ignis
1595 mm,3700 mm,1690 mm,20.89 km/litre,860 kg,,180 mm,83PS@6000rpm,113Nm@4200RPM,Ignis
1595 mm,3700 mm,1690 mm,20.89 km/litre,825 kg,5,180 mm,83PS@6000rpm,113Nm@4200RPM,Ignis
1595 mm,3700 mm,1690 mm,20.89 km/litre,825 kg,5,180 mm,83PS@6000rpm,113Nm@4200RPM,Ignis
1595 mm,3700 mm,1690 mm,20.89 km/litre,825 kg,,180 mm,83PS@6000rpm,113Nm@4200RPM,Ignis
1595 mm,3700 mm,1690 mm,20.89 km/litre,,,180 mm,83PS@6000rpm,113Nm@4200RPM,Ignis
1595 mm,3700 mm,1690 mm,20.89 km/litre,,,180 mm,83PS@6000rpm,113Nm@4200RPM,Ignis
1643 mm,3990 mm,1739 mm,20.5 km/litre,947 kg,5,182 mm,72PS@62050rpm,96Nm@3500rpm,Triber
1643 mm,3990 mm,1739 mm,20.5 km/litre,947 kg,5,182 mm,72PS@62050rpm,96Nm@3500rpm,Triber
1643 mm,3990 mm,1739 mm,20.5 km/litre,947 kg,5,182 mm,72PS@62050rpm,96Nm@3500rpm,Triber
1643 mm,3990 mm,1739 mm,20.5 km/litre,947 kg,5,182 mm,72PS@62050rpm,96Nm@3500rpm,Triber
1730 mm,3970 mm,1570 mm,16 km/litre,1080 kg,5,200 mm,76.6PS@5800rpm,103.9Nm@3500-4250rpm,Rio
1730 mm,3970 mm,1570 mm,16 km/litre,1145 kg,5,200 mm,64PS@4000rpm,152Nm@2500RPM,Rio
1730 mm,3970 mm,1570 mm,16 km/litre,1080 kg,5,200 mm,76.6PS@5800rpm,103.9Nm@3500-4250rpm,Rio
1730 mm,3970 mm,1570 mm,16 km/litre,1145 kg,5,200 mm,64PS@4000rpm,152Nm@2250RPM,Rio
1730 mm,3970 mm,1570 mm,16 km/litre,1145 kg,5,200 mm,64PS@4000rpm,152Nm@2250RPM,Rio
1730 mm,3970 mm,1570 mm,23.7 km/litre,1145 kg,5,200 mm,72PS@4000rpm,183Nm@1800-2400rpm,Rio
1510 mm,3884 mm,1695 mm,18.16 km/litre,895 kg,5,170 mm,80PS@5600rpm,104Nm@3100rpm,Etios Liva
1510 mm,3884 mm,1695 mm,18.16 km/litre,895 kg,5,170 mm,80PS@5600rpm,104Nm@3100rpm,Etios Liva
1510 mm,3884 mm,1695 mm,23.59 km/litre,895 kg,5,170 mm,68PS@3800rpm,170Nm@1800-2400rpm,Etios Liva
1510 mm,3884 mm,1695 mm,18.16 km/litre,895 kg,5,170 mm,80PS@5600rpm,104Nm@3100rpm,Etios Liva
1510 mm,3884 mm,1695 mm,23.59 km/litre,895 kg,5,170 mm,68PS@3800rpm,170Nm@1800-2400rpm,Etios Liva
1510 mm,3884 mm,1695 mm,23.59 km/litre,895 kg,5,170 mm,68PS@3800rpm,170Nm@1800-2400rpm,Etios Liva
1510 mm,3884 mm,1695 mm,18.16 km/litre,895 kg,5,170 mm,80PS@5600rpm,104Nm@3100rpm,Etios Liva
1510 mm,3884 mm,1695 mm,23.59 km/litre,895 kg,5,170 mm,68PS@3800rpm,170Nm@1800-2400rpm,Etios Liva
1510 mm,3884 mm,1695 mm,18.16 km/litre,895 kg,5,170 mm,80PS@5600rpm,104Nm@3100rpm,Etios Liva
1510 mm,3884 mm,1695 mm,23.59 km/litre,895 kg,5,170 mm,68PS@3800rpm,170Nm@1800-2400rpm,Etios Liva
1510 mm,3884 mm,1695 mm,18.16 km/litre,895 kg,5,170 mm,80PS@5600rpm,104Nm@3100rpm,Etios Liva
1510 mm,3884 mm,1695 mm,23.59 km/litre,895 kg,5,170 mm,68PS@3800rpm,170Nm@1800-2400rpm,Etios Liva
1510 mm,3884 mm,1695 mm,18.16 km/litre,895 kg,5,170 mm,80PS@5600rpm,104Nm@3100rpm,Etios Liva
1510 mm,3884 mm,1695 mm,23.59 km/litre,895 kg,5,170 mm,68PS@3800rpm,170Nm@1800-2400rpm,Etios Liva
1530 mm,3801 mm,1665 mm,18.97 km/litre,,5,154 mm,68PS@5000rpm,104Nm@4000rpm,Micra Active
1530 mm,3801 mm,1665 mm,19.49 km/litre,,5,154 mm,68PS@5000rpm,104Nm@4000rpm,Micra Active
1530 mm,3801 mm,1665 mm,18.97 km/litre,,5,154 mm,68PS@5000rpm,104Nm@4000rpm,Micra Active
1562 mm,3825 mm,1695 mm,22.95 km/litre,1132 kg,5,165 mm,75PS@4000rpm,190Nm@1750-3000rpm,Bolt
1562 mm,3825 mm,1695 mm,22.95 km/litre,1132 kg,5,165 mm,75PS@4000rpm,190Nm@1750-3000rpm,Bolt
1562 mm,3825 mm,1695 mm,22.95 km/litre,1132 kg,5,165 mm,75PS@4000rpm,190Nm@1750-3000rpm,Bolt
1562 mm,3825 mm,1695 mm,22.95 km/litre,1132 kg,5,165 mm,75PS@4000rpm,190Nm@1750-3000rpm,Bolt
1562 mm,3825 mm,1695 mm,17.57 km/litre,1095 kg,5,165 mm,90PS@5000rpm,140Nm@1500-4000rpm,Bolt
1562 mm,3825 mm,1695 mm,17.57 km/litre,1095 kg,5,165 mm,90PS@5000rpm,140Nm@1500-4000rpm,Bolt
1562 mm,3825 mm,1695 mm,17.57 km/litre,1095 kg,5,165 mm,90PS@5000rpm,140Nm@1500-4000rpm,Bolt
1562 mm,3825 mm,1695 mm,17.57 km/litre,1095 kg,5,165 mm,90PS@5000rpm,140Nm@1500-4000rpm,Bolt
1520 mm,3995 mm,1660 mm,,1100 kg,5,165 mm,83PS@6000rpm,114Nm@6000rpm,Xcent Prime
1520 mm,3995 mm,1660 mm,15.7 km/litre,1100 kg,5,165 mm,83PS@6000rpm,114Nm@6000rpm,Xcent Prime
1520 mm,3995 mm,1660 mm,,1100 kg,5,165 mm,83PS@6000rpm,114Nm@6000rpm,Xcent Prime
1520 mm,3995 mm,1660 mm,,1100 kg,5,165 mm,81.8bhp@6000rpm,114Nm@6000rpm,Xcent Prime
1520 mm,3995 mm,1660 mm,20.14 km/litre,1100 kg,5,165 mm,70bhp@4000RPM,114Nm@6000rpm,Xcent Prime
1520 mm,3995 mm,1660 mm,20 km/litre,1100 kg,5,165 mm,71PS@4000rpm,114Nm@6000rpm,Xcent Prime
1555 mm,3995 mm,1695 mm,28.4 km/litre,1045 kg,,170 mm,75PS@4000rpm,190Nm@2000rpm,Dzire Tour
1555 mm,3995 mm,1695 mm,22 km/litre,935 kg,5,170 mm,83PS@6000rpm,115Nm@4000rpm,Dzire Tour
1555 mm,3995 mm,1695 mm,,935 kg,5,170 mm,69bhp@6000rpm,115Nm@4000rpm,Dzire Tour
1505 mm,3995 mm,1710 mm,18.6 km/litre,1066 kg,5,165 mm,84PS@6000rpm,115Nm@4000rpm,Elite I20
1505 mm,3985 mm,1734 mm,22.54 km/litre,1510 kg,6,170 mm,90PS@4000rpm,220Nm@1500rpm,Elite I20
1505 mm,3985 mm,1734 mm,18.6 km/litre,1058 kg,5,170 mm,84PS@6000rpm,115Nm@4000rpm,Elite I20
1505 mm,3985 mm,1734 mm,22.54 km/litre,1510 kg,6,170 mm,90PS@4000rpm,220Nm@1500rpm,Elite I20
1505 mm,3985 mm,1734 mm,18.6 km/litre,1060 kg,5,170 mm,84PS@6000rpm,115Nm@4000rpm,Elite I20
1505 mm,3985 mm,1734 mm,22.54 km/litre,1515 kg,6,170 mm,90PS@4000rpm,220Nm@1500rpm,Elite I20
1505 mm,3995 mm,1734 mm,18.15 km/litre,1515 kg,5,170 mm,84PS@6000rpm,114Nm@4000rpm,Elite I20
1505 mm,3985 mm,1734 mm,22.54 km/litre,1515 kg,6,170 mm,90PS@4000rpm,220Nm@1500-2750rpm,Elite I20
1505 mm,3985 mm,1734 mm,18.6 km/litre,1066 kg,5,170 mm,83PS@6000rpm,115Nm@4000rpm,Elite I20
1505 mm,3985 mm,1734 mm,18.6 km/litre,1060 kg,5,170 mm,84PS@6000rpm,115Nm@4000rpm,Elite I20
1505 mm,3985 mm,1734 mm,18.6 km/litre,1060 kg,5,170 mm,84PS@6000rpm,115Nm@4000rpm,Elite I20
1505 mm,3985 mm,1734 mm,22.54 km/litre,1515 kg,6,170 mm,90PS@4000rpm,220Nm@1500rpm,Elite I20
