Displacement,Cylinders,Valves_Per_Cylinder,Cylinder_Configuration,Fuel_System,Fuel_Tank_Capacity,Fuel_Type,Emission_Norm,Start_/_Stop_Button,ARAI_Certified_Mileage
624 cc,2,2,In-line,Injection,24 litres,Petrol,BS IV,Yes,23.6 km/litre
624 cc,2,2,In-line,Injection,24 litres,Petrol,BS IV,,23.6 km/litre
624 cc,2,2,In-line,Injection,15 litres,CNG,BS IV,,
624 cc,2,2,In-line,Injection,24 litres,Petrol,BS IV,Yes,21.9 km/litre
624 cc,2,2,In-line,Injection,24 litres,Petrol,BS IV,,23.6 km/litre
624 cc,2,2,In-line,Injection,24 litres,Petrol,BS IV,,21.9 km/litre
799 cc,3,4,In-line,Injection,28 litres,Petrol,BS IV,,25.17 km/litre
799 cc,3,4,In-line,Injection,28 litres,Petrol,BS IV,,25.17 km/litre
799 cc,3,4,In-line,Injection,28 litres,Petrol,BS IV,,25.17 km/litre
799 cc,3,4,In-line,Injection,28 litres,Petrol,BS IV,,25.17 km/litre
999 cc,3,4,In-line,Injection,28 litres,Petrol,BS IV,,22.5 km/litre
999 cc,3,4,In-line,Injection,28 litres,Petrol,BS IV,,23 km/litre
799 cc,3,4,In-line,Injection,28 litres,Petrol,BS 6,,25.17 km/litre
799 cc,3,4,In-line,Injection,28 litres,Petrol,BS 6,,25.17 km/litre
799 cc,3,4,In-line,Injection,28 litres,Petrol,BS 6,,25.17 km/litre
799 cc,3,4,In-line,Injection,28 litres,Petrol,BS 6,,25.17 km/litre
999 cc,3,4,In-line,Injection,28 litres,Petrol,BS 6,,23.01 km/litre
999 cc,3,4,In-line,Injection,28 litres,Petrol,BS 6,,23.01 km/litre
999 cc,3,4,In-line,Injection,28 litres,Petrol,BS 6,,24.04 km/litre
999 cc,3,4,In-line,Injection,28 litres,Petrol,BS 6,,24.04 km/litre
999 cc,3,4,In-line,Injection,28 litres,Petrol,BS 6,,23.01 km/litre
999 cc,3,4,In-line,Injection,28 litres,Petrol,BS 6,,23.01 km/litre
999 cc,3,4,In-line,Injection,28 litres,Petrol,BS 6,,23.01 km/litre
999 cc,3,4,In-line,Injection,28 litres,Petrol,BS 6,,24.04 km/litre
1196 cc,4,4,In-line,Injection,40 litres,Petrol,BS 6,,15 km/litre
1196 cc,4,4,In-line,Injection,40 litres,Petrol,BS 6,,15 km/litre
1196 cc,4,4,In-line,Injection,40 litres,Petrol,BS 6,,15 km/litre
1196 cc,4,4,In-line,Injection,40 litres,CNG,BS 6,,
1196 cc,4,4,In-line,Injection,40 litres,CNG,BS 6,,
998 cc,3,4,In-line,Injection,35 litres,Petrol,BS IV,,24.07 km/litre
998 cc,3,4,In-line,Injection,35 litres,Petrol,BS IV,,24.07 km/litre
998 cc,3,4,In-line,Injection,35 litres,Petrol,BS IV,,24.07 km/litre
998 cc,3,4,In-line,Injection,35 litres,Petrol,BS IV,,24.07 km/litre
998 cc,3,4,In-line,Injection,35 litres,CNG,BS IV,,
998 cc,3,4,In-line,Injection,35 litres,Petrol,BS IV,,24.07 km/litre
1198 cc,3,4,In-line,Injection,35 litres,Petrol,BS IV,,20.1 km/litre
1198 cc,3,4,In-line,Injection,35 litres,Petrol,BS IV,,20.1 km/litre
1198 cc,3,4,In-line,Injection,35 litres,Petrol,BS IV,,20.1 km/litre
1198 cc,3,4,In-line,Injection,35 litres,Petrol,BS IV,,20.1 km/litre
1198 cc,3,4,In-line,Injection,35 litres,Petrol,BS IV,,20.1 km/litre
1198 cc,3,4,In-line,Injection,35 litres,Petrol,BS IV,,20.1 km/litre
1198 cc,3,4,In-line,Injection,35 litres,Petrol,BS IV,,20.1 km/litre
