Torque,Power,ARAI_Certified_Mileage,Ex-Showroom_Price
51Nm@4000rpm,38PS@5500rpm,23.6 km/litre,"Rs. 2,92,667"
51Nm@4000rpm,38PS@5500rpm,23.6 km/litre,"Rs. 2,36,447"
51Nm@4000rpm,38PS@5500rpm,,"Rs. 2,96,661"
51Nm@4000rpm,38PS@5500rpm,21.9 km/litre,"Rs. 3,34,768"
51Nm@4000rpm,38PS@5500rpm,23.6 km/litre,"Rs. 2,72,223"
51Nm@4000rpm,38PS@5500rpm,21.9 km/litre,"Rs. 3,14,815"
72Nm@4386rpm,54PS@5678rpm,25.17 km/litre,"Rs. 2,79,650"
72Nm@4386rpm,54PS@5678rpm,25.17 km/litre,"Rs. 3,51,832"
72Nm@4386rpm,54PS@5678rpm,25.17 km/litre,"Rs. 3,33,419"
72Nm@4386rpm,54PS@5678rpm,25.17 km/litre,"Rs. 3,62,000"
91Nm@4250RPM,68PS@5500rpm,22.5 km/litre,"Rs. 3,90,000"
91Nm@4250RPM,68PS@5500rpm,23 km/litre,"Rs. 4,37,065"
72Nm@4386rpm,54PS@5678rpm,25.17 km/litre,"Rs. 3,53,290"
72Nm@4386rpm,54PS@5678rpm,25.17 km/litre,"Rs. 2,83,290"
72Nm@4386rpm,54PS@5678rpm,25.17 km/litre,"Rs. 3,83,290"
72Nm@4386rpm,54PS@5678rpm,25.17 km/litre,"Rs. 4,13,290"
91Nm@4250RPM,68PS@5500rpm,23.01 km/litre,"Rs. 4,33,290"
91Nm@4250RPM,68PS@5500rpm,23.01 km/litre,"Rs. 4,54,490"
91Nm@4250RPM,68PS@5500rpm,24.04 km/litre,"Rs. 4,63,290"
91Nm@4250RPM,68PS@5500rpm,24.04 km/litre,"Rs. 4,84,490"
91Nm@4250RPM,68PS@5500rpm,23.01 km/litre,"Rs. 4,40,990"
91Nm@4250RPM,68PS@5500rpm,23.01 km/litre,"Rs. 4,70,990"
91Nm@4250RPM,68PS@5500rpm,23.01 km/litre,"Rs. 4,62,190"
91Nm@4250RPM,68PS@5500rpm,24.04 km/litre,"Rs. 4,92,190"
101Nm@3000rpm,73PS@6000rpm,15 km/litre,"Rs. 3,52,136"
101Nm@3000rpm,74PS@6000RPM,15 km/litre,"Rs. 3,80,573"
101Nm@3000rpm,73PS@6000rpm,15 km/litre,"Rs. 3,92,967"
85Nm@3000rpm,62PS@6000rpm,,"Rs. 4,66,057"
85Nm@3000rpm,62PS@6000rpm,,"Rs. 4,25,255"
90Nm@3500rpm,68PS@6000rpm,24.07 km/litre,"Rs. 3,77,588"
90Nm@3500rpm,68PS@6200rpm,24.07 km/litre,"Rs. 3,94,036"
